更新时间,#genre#
2024-12-25 19:59:25,url
央视,#genre#
🚀开启IPV6观看,http://cloud.video.taobao.com/play/u/null/p/1/e/6/t/1/496863192271.mp4
CCTV-1综合,http://[2409:8087:74d2:21::4]/270000001128/index.m3u8?cmcc_cid=9900000001
CCTV-1综合,http://[2409:8087:74d2:21::4]/270000001128/index.m3u8?cmcc_cid=9900000501
CCTV-1综合,http://[2409:8087:74d2:21::9]/270000001128/index.m3u8?cmcc_cid=9900000001
CCTV-1综合,http://[2409:8087:74d2:21::9]/270000001128/index.m3u8?cmcc_cid=9900000501
CCTV-2财经,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226676/index.m3u8
CCTV-3综艺,http://[2409:8087:74d2:21::6]:80/270000001128/9900000003/index.m3u8
CCTV-4中文国际,http://[2409:8087:74d2:21::9]/270000001128/index.m3u8?cmcc_cid=9900000503
CCTV-5体育,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226146/index.m3u8
CCTV-5+体育赛事,http://[2409:8087:74d2:21::4]/270000001128/index.m3u8?cmcc_cid=9900000507
CCTV-6电影,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226148/index.m3u8
CCTV-7国防军事,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226432/index.m3u8
CCTV-8电视剧,http://[2409:8087:74d2:21::6]:80/270000001128/9900000008/index.m3u8
CCTV-9纪录,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226434/index.m3u8
CCTV-10科教,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226164/index.m3u8
CCTV-11戏曲,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226541/index.m3u8
CCTV-12社会与法,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226436/index.m3u8
CCTV-13新闻,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226438/index.m3u8
CCTV-14少儿,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226166/index.m3u8
CCTV-15音乐,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226616/index.m3u8
CCTV-16奥林匹克,http://[2409:8087:74d2:21::6]/270000001128/index.m3u8?cmcc_cid=9900000016
CCTV-16奥林匹克,http://[2409:8087:74d2:21::11]/270000001128/index.m3u8?cmcc_cid=9900000016
CCTV-17农业农村,http://[2409:8087:74d2:21::9]:80/270000001128/9900000513/index.m3u8

CCTV-1综合,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226670/index.m3u8
CCTV-1综合,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226733/index.m3u8
CCTV-4中文国际,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226652/index.m3u8
CCTV-5体育,http://[2409:8087:74d2:21::6]:80/270000001128/9900000005/index.m3u8
CCTV-5+体育赛事,http://[2409:8087:74d2:21::6]:80/270000001128/9900000507/index.m3u8
CCTV-6电影,http://[2409:8087:74d2:21::6]:80/270000001128/9900000006/index.m3u8
CCTV-16奥林匹克,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226413/index.m3u8
CCTV-1综合,http://[2409:8087:74d2:21::6]:80/270000001128/9900000001/index.m3u8
CCTV-4中文国际,http://[2409:8087:74d2:21::6]:80/000000001000PLTV/88888888/224/3221226539/index.m3u8
CCTV-14少儿,http://[2409:8087:74d2:21::6]:80/270000001322/69900158041111100000002148/index.m3u8
CCTV-16奥林匹克,http://[2409:8087:74d2:21::6]:80/270000001128/9900000016/index.m3u8

CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$可回放
CCTV-2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8$可回放
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$可回放
CCTV-4中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8$可回放
CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$可回放
CCTV-5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$可回放
CCTV-6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$可回放
CCTV-7国防军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$可回放
CCTV-8电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8$可回放
CCTV-9纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8$可回放
CCTV-10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8$可回放
CCTV-11戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8$可回放
CCTV-12社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8$可回放
CCTV-13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8$可回放
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8$可回放
CCTV-15音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226616/index.m3u8$可回放
